user_profile> USE user_profile
[2020-10-22 14:05:43] completed in 1 s 149 ms

user_profile> SELECT * FROM svm_dataset
+--------+----------------+------------------+----------------------+---------+
|phone_no|tv_consume_level|tv_access_duration|avg_duration          |final_tag|
|2078029 |电视高消费           |老用户               |0.10781790123456791   |0        |
|2047027 |电视低消费           |老用户               |0.878753086419753     |0        |
|2020594 |电视低消费           |老用户               |0.8424845679012345    |0        |
|2103881 |电视低消费           |老用户               |2.557527777777778     |1        |
|2118224 |电视低消费           |老用户               |0.6114753086419753    |0        |
|2261255 |电视低消费           |老用户               |2.847027777777778     |1        |
|2019192 |电视中等消费          |老用户               |1.5230216049382717    |0        |
|2157339 |电视低消费           |老用户               |0.06077777777777778   |0        |
|2183848 |电视高消费           |老用户               |0.44358333333333333   |0        |
|2081594 |电视中等消费          |老用户               |2.4241635802469137    |1        |
|2142848 |电视低消费           |老用户               |0.3627222222222223    |0        |
|2047661 |电视低消费           |老用户               |0.0294320987654321    |0        |
|2207994 |电视高消费           |老用户               |0.835388888888889     |0        |
|2006101 |电视高消费           |老用户               |1.8373425925925928    |0        |
|2001102 |电视低消费           |老用户               |0.10041975308641976   |0        |
|2002651 |电视低消费           |老用户               |2.2227623456790124    |1        |
|2083275 |电视高消费           |老用户               |1.1865092592592592    |0        |
|2176080 |电视高消费           |老用户               |0.17989506172839506   |0        |
|2178693 |电视低消费           |老用户               |0.45653395061728397   |0        |
|2268827 |电视低消费           |老用户               |2.227990740740741     |1        |
|2003450 |电视中等消费          |老用户               |2.007                 |1        |
|2139265 |电视中等消费          |老用户               |0.8929444444444444    |0        |
|2176130 |电视低消费           |老用户               |0.04309876543209877   |0        |
|2301756 |电视高消费           |老用户               |0.8684166666666666    |0        |
|2002992 |电视中等消费          |老用户               |1.0251203703703704    |0        |
|2000126 |电视中等消费          |老用户               |1.6723827160493827    |0        |
|2146628 |电视中等消费          |老用户               |1.0895617283950616    |0        |
|2211733 |电视低消费           |老用户               |0.14578395061728394   |0        |
|2118624 |电视高消费           |老用户               |1.1726512345679012    |0        |
|2149525 |电视低消费           |老用户               |0.94979012345679      |0        |
|2149600 |电视低消费           |老用户               |0.17295987654320988   |0        |
|2008132 |电视低消费           |老用户               |0.2812716049382716    |0        |
|2001498 |电视低消费           |老用户               |1.5010246913580247    |0        |
|2296198 |电视中等消费          |老用户               |1.8700740740740742    |0        |
|2038733 |电视低消费           |老用户               |0.4334753086419753    |0        |
|2211886 |电视高消费           |老用户               |1.5361913580246913    |0        |
|2003167 |电视中等消费          |老用户               |0.001058641975308642  |0        |
|2293270 |电视低消费           |老用户               |0.08670987654320989   |0        |
|2295827 |电视低消费           |老用户               |0.04812654320987655   |0        |
|2057125 |电视高消费           |老用户               |0.00007098765432098765|0        |
|2072812 |电视高消费           |老用户               |2.1229135802469137    |1        |
|2145377 |电视中等消费          |老用户               |0.2153117283950617    |0        |
|2046193 |电视低消费           |老用户               |1.6689567901234568    |0        |
|2000638 |电视低消费           |老用户               |1.3666635802469136    |0        |
|2255454 |电视中等消费          |老用户               |1.2320432098765433    |0        |
|2260621 |电视低消费           |老用户               |0.7428240740740741    |0        |
|2186754 |电视低消费           |老用户               |2.340262345679012     |1        |
|2267876 |电视高消费           |老用户               |1.126601851851852     |0        |
|2261371 |电视低消费           |老用户               |1.119574074074074     |0        |
|2073340 |电视高消费           |老用户               |3.9920185185185186    |1        |
|2217945 |电视低消费           |老用户               |0.9538209876543209    |0        |
|2302413 |电视低消费           |老用户               |1.8525493827160495    |0        |
|2007182 |电视低消费           |老用户               |0.840854938271605     |0        |
|2149317 |电视高消费           |老用户               |1.8360895061728397    |0        |
|2176402 |电视高消费           |老用户               |1.5653055555555555    |0        |
|2049976 |电视高消费           |老用户               |0.00804320987654321   |0        |
|2118703 |电视高消费           |老用户               |1.079787037037037     |0        |
|2294549 |电视低消费           |老用户               |1.9555216049382715    |0        |
|2107096 |电视低消费           |老用户               |2.235796296296296     |1        |
|2150798 |电视低消费           |老用户               |0.3220771604938272    |0        |
+--------+----------------+------------------+----------------------+---------+
[2020-10-22 14:05:47] 155 rows retrieved starting from 1 in 2 s 407 ms (execution: 339 ms, fetching: 2 s 68 ms)
